"weekday","month","date","year","text"
"Thu","Oct",1,2015,"@mjdout I know that can be frustrating..we hope to have you parked and deplaned shortly. Thanks for your patience.  *AA"
"Thu","Oct",1,2015,"@rmarkerm Terribly sorry for the inconvenience. If we can be of assistance at this time, pls let us know.  *AA"
"Thu","Oct",1,2015,"@checho85  I can check, pls follow and DM your confirmation # for review.  *AA"
"Thu","Oct",1,2015,"@nealaa ...Alerts, pls check here: http://t.co/0jlcZnT95Q *JH 3/3"
"Thu","Oct",1,2015,"@nealaa ...advisory has only been issued for the Bahamas, but that could change.  To check for updates on Weather advisories &amp;... 2/3"
"Thu","Oct",1,2015,"@nealaa Hi. Our meteorologist team is aware of Hurricane Joaquin &amp; monitors weather conditions at all times. At this time a weather... 1/3"
"Thu","Oct",1,2015,"@BigGucciQueen  This is your direct dial number + 43 (0)1 360 277 3461. *DD"
"Thu","Oct",1,2015,"@marxypoo ...for any inconvenience.  *JH 3/3"
"Thu","Oct",1,2015,"@marxypoo ...the system &amp; when you are ready to board the aircraft the correct seat assignment will be given to you. My apologies... 2/3"
"Thu","Oct",1,2015,"@marxypoo Hi Marx. This is a known issue &amp; our IT team members are working on a fix. Be assured, once you make the change it is in... 1/3"
"Thu","Oct",1,2015,"@BigGucciQueen  What country are you calling from? *DD"
"Thu","Oct",1,2015,"@DaneLopes Congratulations! Thank you for your loyalty. :) *DD"
"Thu","Oct",1,2015,"@jwatt44 Hello Jana. What flight are you referring to?  *RD"
"Thu","Oct",1,2015,"@bar_right ...will be glad to work with you regarding any issues. My apologies for the service. *JH 2/2"
"Thu","Oct",1,2015,"@bar_right Hi Pete. That is not good to hear. For questions or comments regarding the wifi service pls tweet @Gogo. A team member... 1/2"
"Thu","Oct",1,2015,"@Artistsupporter I think other people might need his services, but I'm sure he'll appreciate the sentiment! *WG"
"Thu","Oct",1,2015,"@Frank_Schlegel It may take several weeks to get a response, so if you sent it not too long ago, please give them more time. *WG"
"Thu","Oct",1,2015,"@gim_esther Sorry to hear Esther. I will cancel your flights for you. *NG"
"Thu","Oct",1,2015,"@saragoldrickrab even in a small way, during this difficult time. *AB"
"Thu","Oct",1,2015,"@saragoldrickrab My sincere condolences, Sara. I'm glad to hear we were able to be there, (cont) *AB"
"Thu","Oct",1,2015,"@Dirtyone23 Thanks for letting us be your ride Joe. Happy Travels! :-) *NG"
"Thu","Oct",1,2015,"@papapaintvids Sorry to hear.  Pls follow/DM your confirmation # and I'll take a look to see what's on going on. *NG"
"Thu","Oct",1,2015,"@iamdonovan Hi! Please DM your Delta ticket or confirmation number. I will check for the AZ confirmation number.  *MR"
"Thu","Oct",1,2015,"@i_am_rao  Great! I'm not sure. I will report the glitch. *DD"
"Thu","Oct",1,2015,"@Sam_L_Shead Got it. Feel free to tweet us anytime. *NG"
"Thu","Oct",1,2015,"@Sam_L_Shead So sorry to hear Sam. Pls follow/DM your confirmation # if rebooking assistance is needed. *NG"
"Thu","Oct",1,2015,"@jovenitti I'm afraid they're all sold out.  *NG"
"Thu","Oct",1,2015,"@i_am_rao You may wish to speak with our Online team at 888 750 3284 for assistance. *DD"
"Thu","Oct",1,2015,"@jovenitti Sorry we don't have that option.. For a mileage upgrade, you'll need to contact the mileage desk at the # provided. *NG"
"Thu","Oct",1,2015,"@jovenitti Were you looking to use a certificate? *NG"
"Thu","Oct",1,2015,"@jovenitti ...*NG 3/3"
"Thu","Oct",1,2015,"@jovenitti ...collect credit card info via Twitter. You may wish to contact our Sales Team at +31 (0)20 721 9128 for assistance.... 2/3"
"Thu","Oct",1,2015,"@jovenitti Hi Tony. You may incur a fee and difference in fare to make this change. Unfortunately we're unable to quote fares or... 1/3"
"Thu","Oct",1,2015,"@patrickhaiem No, you'll be vetted for each flight. PreCheck is not a guarantee, however, the KTN increases your chances.  *AA"
"Thu","Oct",1,2015,"@patrickhaiem ...this flight and you'll need to clear security as normal.  *AA 2/2"
"Thu","Oct",1,2015,"@patrickhaiem The KTN is already apart of your profile, if TSA PreCheck is not on your boarding pass, TSA has not cleared you for... 1/2"
"Thu","Oct",1,2015,"@drkkyu Sorry to hear. I'll be sure to pass this feedback along to our Rates and Fares Team. My condolences on your loss. *NG"
"Thu","Oct",1,2015,"@DontDroptheZoap  Thank you and have a wonderful day! *MR"
"Thu","Oct",1,2015,"@mglacey You may want to clear your cache. This may help. If this doesn't work let us know. *AB"
"Thu","Oct",1,2015,"@daniellecalder  Danielle, so sorry to hear you're having a problem booking on our website.  Please contact our Online Support Desk... 1/2"
"Thu","Oct",1,2015,"@daniellecalder ...at 1-888-750-3284. *BB 2/2"
"Thu","Oct",1,2015,"@mglacey One more question. Are you trying to book via the App? *AB"
"Thu","Oct",1,2015,"@MollyChisamore  Molly, our apologies we will do our best to get you on your way as quickly as possible.  *KM"
"Thu","Oct",1,2015,"@zdlatham  Sorry about that! Please follow/DM your confirm #. *KM"
"Thu","Oct",1,2015,"@davidcooperlive Happy travels, David! :-) *AB"
"Thu","Oct",1,2015,"@jasonallen50 That’s not good to hear, Jason. Please follow/DM if I can be of any assistance. Thanks. *AB"
"Thu","Oct",1,2015,"@roryscovel Rory, sorry for the inconvenience! Pls follow/DM your confirm #. *KM"
"Thu","Oct",1,2015,"@mglacey Hi, Mitch. We haven't received any complaints up until now. Have you tried calling Online Support at 888-750-3284? *AB"
"Thu","Oct",1,2015,"@lanaandlovely  For future reference, we do have fare options that are fully refundable and changeable.  *KC"
