headline,url,site,y
Mom Sentenced To 6 Years In Prison For Putting Feces In Sick Son's IV,http://dailybuzzlive.com/mom-sentenced-to-6-years-in-prison-for-putting-feces-in-sick-sons-iv/,dailybuzz,1
The Most Shocking 'òJerry Springer' Episode EVER!!,http://dailybuzzlive.com/the-most-shocking-jerry-springer-episode-ever/,dailybuzz,1
America''s Self-Inflicted Defense Woes,http://www.activistpost.com/2016/08/americas-self-inflicted-defense-woes.html,activistpost,1
"A Man Spots A Reckless Driver, When He Stops Her I''m Shocked'¶. OMG!!",http://dailybuzzlive.com/a-man-spots-a-reckless-driver-when-he-stops-her-im-shocked-omg/,dailybuzz,1
Tim Cook Asks FBI To Withdraw Order To Hack Terrorist's iPhone,http://www.buzzfeed.com/johnpaczkowski/apple-ceo-calls-on-feds-to-drop-iphone-unlock-order,buzzfeed,1
Police Union Threatens Not To Patrol 49ers Games Over Kaepernick Protest,http://www.buzzfeed.com/salvadorhernandez/police-union-says-officers-may-not-work-49ers-games-over-kae,buzzfeed,1
"Ed Rendell: Clinton's Speech Was Presidential, But Not Outstanding Rhetorically",http://www.buzzfeed.com/christophermassie/ed-rendell-clintons-speech-was-presidential-but-not-outstand,buzzfeed,1
ALERT: Diet Pepsi Removes Aspartame And Replaces It With An Equally Dangerous Chemical!,http://dailybuzzlive.com/alert-diet-pepsi-removes-aspartame-replaces-equally-dangerous-chemical-2/,dailybuzz,1
13 Trump Supporters Who Didn't Think He Was Joking About The Second Amendment,http://www.buzzfeed.com/jimdalrympleii/trump-reactions,buzzfeed,1
GOP Congressman: Trump Has 'úThoughts In His Head That Should Just Stay There'ù,http://www.buzzfeed.com/andrewkaczynski/gop-congressman-trump-has-thoughts-in-his-head-that-should-j,buzzfeed,1
"At The DNC, Black Women Activists Will Talk About Turning Grief Into Action",http://www.buzzfeed.com/darrensands/at-the-dnc-black-women-activists-will-talk-about-turning-gri,buzzfeed,1
How To Get Weed In 5 Minutes Without Leaving Your Couch,http://dailybuzzlive.com/how-to-get-weed-in-5-minutes-without-leaving-your-couch/,dailybuzz,1
Want to Stop Gun Violence? End The War On Drugs,http://www.activistpost.com/2016/08/want-stop-gun-violence-end-war-drugs.html,activistpost,1
Words Of Wisdom From An Unexpected Citizen,http://dailybuzzlive.com/words-wisdom-unexpected-citizen/,dailybuzz,1
"Hiroshima: 71 Years Ago Today, The US Govt Carried Out One of the Worst Terrorist Acts in History",http://www.activistpost.com/2016/08/hiroshima-71-years-ago-today-us-govt-carried-out-worst-terrorist-act-in-history.html,activistpost,1
"As City Councilman, Kaine Proposed Banning Outside Drug Offenders From Entering Richmond",http://www.buzzfeed.com/natemcdermott/as-city-coucilman-kaine-proposed-banning-outside-drug-offend,buzzfeed,1
Drivers Stoned On Marijuana Test Their Drivers Skills ' What Happened Next Was Shocking!,http://dailybuzzlive.com/drivers-stoned-on-marijuana-test-their-drivers-skills-what-happened-next-was-shocking/,dailybuzz,1
The Most Important Presidential Election Question'¶(That no one EVER asks).,http://www.activistpost.com/2016/08/important-presidential-election-question-no-one-ever-asks.html,activistpost,1
Why Your Dog Should ALWAYS Ride In The BACK Seat And Not The Front,http://dailybuzzlive.com/dog-always-ride-back-seat-not-front/,dailybuzz,1
Worker Advocacy Group Will Profit From Uber Deal,http://www.buzzfeed.com/carolineodonovan/uber-adds-worker-advocacy-group-to-its-payroll,buzzfeed,1
How An Israeli Opposition MP Used Facebook Live To Get Her Way,http://www.buzzfeed.com/hayesbrown/how-an-israeli-opposition-mp-used-facebook-live-to-get-her-w,buzzfeed,1
MIND BLOWN: Man Fails Paternity Test Because Unborn Twin Is The Biological Father Of His Son,http://dailybuzzlive.com/mind-blown-man-fails-paternity-test-because-unborn-twin-is-the-biological-father-of-his-son/,dailybuzz,1
Politics is Fake and Staged,http://www.activistpost.com/2016/07/politics-fake-staged.html,activistpost,1
Why in the World Are Taxes Levied on Money Itself?,http://www.activistpost.com/2016/08/world-taxes-levied-money.html,activistpost,1
She Was Born With Birthmarks That Covered Her Entire Body 'ì But Wait Until You See Her Now!,http://dailybuzzlive.com/she-was-born-with-birthmarks-that-covered-her-entire-body-but-wait-until-you-see-her-now/,dailybuzz,1
Here's How British Muslims Are Reacting To News About Anjem Choudary,http://www.buzzfeed.com/aishagani/british-muslims-react-anjem-choudury-jailed,buzzfeed,1
Can Mounting Personal Debt and Economic Recovery Coexist?,http://www.activistpost.com/2016/06/can-mounting-personal-debt-and-economic-recovery-coexist.html,activistpost,1
Woman Has Crazy Meltdown On Train When Her iPhone Battery Dies,http://dailybuzzlive.com/woman-has-crazy-meltdown-on-train-when-her-iphone-battery-dies/,dailybuzz,1
Democratic Politicos Crimes: Why Are Some Prosecuted and Others Not?,http://www.activistpost.com/2016/08/democratic-politicos-crimes-prosecuted-others-not.html,activistpost,1
"Father Of Fallen Muslim Soldier Calls On Republican Leaders To ""Disown"" Trump",http://www.buzzfeed.com/salvadorhernandez/father-of-fallen-muslim-soldier-calls-republican-leaders-to,buzzfeed,1
College Lobby Group Will Oversee Flow Of Federal Aid Dollars In New Experiment,http://www.buzzfeed.com/mollyhensleyclancy/college-lobby-group-will-oversee-flow-of-federal-aid-dollars,buzzfeed,1
Ann Coulter Grapples With Trump Deportation Flip-Flop,http://www.buzzfeed.com/rosiegray/ann-coulter-grapples-with-trump-deportation-flip-flop,buzzfeed,1
28 Declassified Pages Do Nothing To Explain Implausibility of 9/11 Official Story,http://www.activistpost.com/2016/07/28-declassified-pages-nothing-explain-implausibility-911-official-story.html,activistpost,1
Strange Butterfly Shaped UFO Caught On Film 'ì One Of The Clearest Videos Yet,http://dailybuzzlive.com/strange-butterfly-shaped-ufo-caught-on-film-one-of-the-clearest-videos-yet/,dailybuzz,1
CFR Promo Video: Kinder and Gentler Globalists,http://www.activistpost.com/2016/08/cfr-promo-video-kinder-gentler-globalists.html,activistpost,1
Drug Sales On The Dark Web Have Tripled Since The Feds Shut Down Silk Road,http://www.activistpost.com/2016/08/drug-sales-dark-web-tripled-since-feds-shut-silk-road.html,activistpost,1
